StateAbbr,State,TOPIC,ValueOrig1,Value1,AvgOW,LAT,LON,Questio
GA,Georgia,LivingHalfMilePark,15.1,15.1,30.5,32.83968109,-83.62758035,PercentPopLivingHalfMilePark
MO,Missouri,LivingHalfMilePark,32.8,32.8,31.5,38.63579078,-92.56630005,PercentPopLivingHalfMilePark
HI,Hawaii,LivingHalfMilePark,67.2,67.2,25.5,21.30485044,-157.8577494,PercentPopLivingHalfMilePark
ID,Idaho,LivingHalfMilePark,36.2,36.2,28.8,43.68263001,-114.36373,PercentPopLivingHalfMilePark
MT,Montana,LivingHalfMilePark,36.3,36.3,26.3,47.06652897,-109.4244206,PercentPopLivingHalfMilePark
NE,Nebraska,LivingHalfMilePark,50.1,50.1,32,41.64104099,-99.36572062,PercentPopLivingHalfMilePark
IL,Illinois,LivingHalfMilePark,58.7,58.7,31,40.48501028,-88.99771018,PercentPopLivingHalfMilePark
MN,Minnesota,LivingHalfMilePark,60.3,60.3,28.8,46.35564874,-94.7942005,PercentPopLivingHalfMilePark
IN,Indiana,LivingHalfMilePark,27.1,27.1,32.2,39.76691045,-86.14996019,PercentPopLivingHalfMilePark
MS,Mississippi,LivingHalfMilePark,10.9,10.9,36.7,32.7455101,-89.53803082,PercentPopLivingHalfMilePark
IA,Iowa,LivingHalfMilePark,44.5,44.5,31.5,42.46940091,-93.81649056,PercentPopLivingHalfMilePark
KS,Kansas,LivingHalfMilePark,43,43,31.2,38.3477403,98.20078123,PercentPopLivingHalfMilePark
DE,Delaware,LivingHalfMilePark,46.3,46.3,30.3,39.00883067,-75.57774117,PercentPopLivingHalfMilePark
MA,Massachusetts,LivingHalfMilePark,49.3,49.3,24.6,42.27687047,-72.08269067,PercentPopLivingHalfMilePark
AL,Alabama,LivingHalfMilePark,14.7,14.7,35.4,32.84057112,-86.63186076,PercentPopLivingHalfMilePark
AZ,Arizona,LivingHalfMilePark,38,38,29.6,34.86597028,-111.7638113,PercentPopLivingHalfMilePark
RI,Rhode Island,LivingHalfMilePark,41,41,26.9,41.70828019,-71.52247031,PercentPopLivingHalfMilePark
AK,Alaska,LivingHalfMilePark,41.7,41.7,31.6,64.84507996,-147.722059,PercentPopLivingHalfMilePark
AR,Arkansas,LivingHalfMilePark,15.3,15.3,35.5,34.74865012,-92.27449074,PercentPopLivingHalfMilePark
CA,California,LivingHalfMilePark,58.3,58.3,26.1,37.63864012,-120.9999995,PercentPopLivingHalfMilePark
CO,Colorado,LivingHalfMilePark,59.5,59.5,23.3,38.84384076,-106.1336109,PercentPopLivingHalfMilePark
CT,Connecticut,LivingHalfMilePark,34.6,34.6,27.1,41.56266102,-72.64984095,PercentPopLivingHalfMilePark
DC,District of Columbia,LivingHalfMilePark,88.1,88.1,24.6,38.89037139,-77.03196113,PercentPopLivingHalfMilePark
MD,Maryland,LivingHalfMilePark,50.8,50.8,30.1,39.29058096,-76.60926011,PercentPopLivingHalfMilePark
MI,Michigan,LivingHalfMilePark,36.9,36.9,32.5,44.66131954,-84.71439027,PercentPopLivingHalfMilePark
OH,Ohio,LivingHalfMilePark,40.4,40.4,32.8,40.06021014,-82.40426006,PercentPopLivingHalfMilePark
WA,Washington,LivingHalfMilePark,49.3,49.3,29.4,47.52227863,-120.4700108,PercentPopLivingHalfMilePark
